zoning_summary,count,total_sqft
P-FP-PR-HO-LS-TR-SR-PS-HS,1,1587844.8418456563
P-FP-PR-HO-RR-PS,1,5631234.432525643
P-FP-PR-LS-PS,1,11937.928120167655
P-FP-PR-LS-RR-PS-HD,1,1656040.3630040418
P-FP-PR-LS-SR-PS,1,490737.774721325
P-FP-PR-LS-SR-PS-HD,4,4367534.485144901
P-FP-PR-RR-SR-PS-HD,1,277933.3435401783
P-FP-PR-SR-PS,1,5024.558211766348
P-FP-PR-SR-PS-HD,1,117284.02096405362
P-FP-PR-TR,3,51993.43965006637
P-FP-PR-TR-PS,5,1103860.047274069
P-FP-PR-TR-RR-PS,2,878010.4971656076
P-FP-PS,8,2347568.4101683605
P-FP-RR-PS-HD,1,123366.26833527717
P-FP-SR,1,27791.686597428838
P-FP-SR-PS,23,8870527.555462696
P-FP-SR-PS-HS,1,220544.19577990065
P-FP-TR,1,33315.78487134081
P-FP-TR-PS,3,169676.24749329587
P-FP-TR-SR-PS,20,3531713.673787909
P-FP-UM-LS-PS,3,1762765.1721181164
P-FP-UM-LS-SR-PS,3,49666100.65787514
P-FP-UM-LS-TR-PS,1,5590962.827781755
P-FP-UM-LS-TR-SR-PS,2,4687281.510917386
P-FP-UM-PR-LS-PS,1,160569.4733866767
P-FP-UM-PR-LS-SR-PS-HD,1,34010633.512487605
P-FP-UM-PS,4,171051.92786436356
P-FP-UM-SR-PS,16,542831.5316693505
P-FP-UM-TR-SR-PS-HS,1,1344871.2907694895
P-HD,19,387571.2170690364
P-HS,1,19596.666784428497
P-IZ,23,309639.04717141774
P-IZ-BC,2,104256.15443715986
P-IZ-LS,3,15981.065690305086
P-IZ-LS-PS,35,27512584.527624708
P-IZ-LS-PS-HD,4,472344.5329406883
P-IZ-LS-TR-PS,1,1651265.2190450148
P-IZ-LS-TR-PS-HD,1,3177.937609988351
P-IZ-PR-HO,1,44076.34066807846
P-IZ-PR-HO-LS-TR-PS,1,1868395.0031623405
P-IZ-PR-HO-LS-TR-PS-HD,1,1695971.1605531925
P-IZ-PR-LS-PS,2,1837086.0129237904
P-IZ-PS,30,1384341.3665721864
P-IZ-PS-HS,2,974150.3306707552
P-IZ-TR,3,88603.47108672681
P-IZ-TR-HD,2,109833.59501367269
P-IZ-TR-PS,4,234842.28739406666
P-IZ-TR-PS-HD,1,330064.9439610387
P-IZ-UM-PS,1,119907.60696685265
P-IZ-UM-TR-PS,2,8433.798831199007
P-LS,38,1448902.5766598177
P-LS-HD,1,6669.20306558011
P-LS-PS,2294,99165591.59340757
P-LS-PS-HD,25,13888701.046051474
P-LS-PS-HS,23,38484472.409987755
P-LS-SR-PS,83,5222933.5662376
P-LS-SR-PS-HS,1,687829.3844469627
P-LS-TR,5,16418.537760309708
P-LS-TR-PS,443,9229297.072376812
P-LS-TR-PS-HS,2,326979.1450202601
P-LS-TR-SR-PS,5,281218.91678474244
P-NP,3,323415.2824552714
P-NP-HD,2,211865.28594466645
P-NP-LS-PS,7,253551.11490201313
P-NP-PR,6,512852.90608895035
P-NP-PR-HD,2,292616.2538884937
P-NP-PR-HO-TR-PS,1,136548.4280549943
P-NP-PR-HO-TR-PS-HD,1,4204769.150536856
P-NP-PR-PS,1,84574.89251830133
P-NP-PR-TR-HD,1,153870.27687175325
P-NP-PR-TR-PS-HD,1,69621.11049282427
